variable,impacto_auc,std
hora,0.02948856441398144,0.00392852125339639
beneficio,0.02309602850881677,0.00436141523261506
campanas_ultimos_30d,0.018117054930902016,0.002515158120506145
flujo,0.015653906311802745,0.0027089924201916023
canal,0.010640471924489928,0.0009886273325837205
reclamos_90d,0.003445845500977221,0.00096344764136449
segmento,0.002990407676951412,0.0024109786901664117
cliente_digital,0.0026834326207781922,0.0006688034417486739
pasos_flujo,0.0025701121957709544,0.0011323184649332512
antiguedad_meses,0.00192479915333231,0.0017749426480152012
tiempo_respuesta_seg,0.0010196731692723587,0.0007379518020392164
visitas_app_30d,0.0003093170529285122,0.0003032722992791209
plan_soles,0.00010374178219368924,0.0005992321606579225
dispositivo,4.151158269820321e-05,0.00030027842797213317
interacciones_previas,-3.77197784277028e-05,0.0003051406121890055
dia_semana,-0.00016044536500746387,0.0004812753930493894
wording,-0.0004020551678276668,0.0010565545958034811
saldo_promedio,-0.0007821525671356799,0.0003242515624002476
region,-0.0009906026698663223,0.0007895525607003112
